119. 《借东西的小人阿莉埃蒂》 | 评分：8.9 | 评价人数：620841 | 年份：2010 | 短评：
120. 《菊次郎的夏天》 | 评分：8.9 | 评价人数：667239 | 年份：1999 | 短评：
121. 《剪刀手爱德华》 | 评分：8.7 | 评价人数：1112606 | 年份：1990 | 短评：
122. 《断背山》 | 评分：8.8 | 评价人数：774354 | 年份：2005 | 短评：
123. 《勇敢的心》 | 评分：8.9 | 评价人数：601196 | 年份：1995 | 短评：
124. 《时空恋旅人》 | 评分：8.8 | 评价人数：780381 | 年份：2013 | 短评：
125. 《消失的爱人》 | 评分：8.7 | 评价人数：1062101 | 年份：2014 | 短评：
126. 《倩女幽魂》 | 评分：8.8 | 评价人数：828283 | 年份：1987 | 短评：
127. 《无人知晓》 | 评分：9.1 | 评价人数：368066 | 年份：2004 | 短评：
128. 《驯龙高手》 | 评分：8.8 | 评价人数：853870 | 年份：2010 | 短评：
129. 《花样年华》 | 评分：8.8 | 评价人数：792963 | 年份：2000 | 短评：
130. 《傲慢与偏见》 | 评分：8.7 | 评价人数：917778 | 年份：2005 | 短评：
131. 《新世界》 | 评分：8.9 | 评价人数：519119 | 年份：2013 | 短评：
132. 《完美的世界》 | 评分：9.1 | 评价人数：356656 | 年份：1993 | 短评：
133. 《阳光灿烂的日子》 | 评分：8.8 | 评价人数：688451 | 年份：1994 | 短评：
134. 《一个叫欧维的男人决定去死》 | 评分：8.9 | 评价人数：560595 | 年份：2015 | 短评：
135. 《小森林 夏秋篇》 | 评分：9.0 | 评价人数：469157 | 年份：2014 | 短评：
136. 《玩具总动员3》 | 评分：8.9 | 评价人数：584852 | 年份：2010 | 短评：
137. 《天使爱美丽》 | 评分：8.7 | 评价人数：1014675 | 年份：2001 | 短评：
138. 《怪兽电力公司》 | 评分：8.8 | 评价人数：761242 | 年份：2001 | 短评：
139. 《色，戒》 | 评分：8.7 | 评价人数：948259 | 年份：2007 | 短评：
140. 《侧耳倾听》 | 评分：8.9 | 评价人数：515743 | 年份：1995 | 短评：
141. 《教父3》 | 评分：9.0 | 评价人数：426444 | 年份：1990 | 短评：
142. 《请以你的名字呼唤我》 | 评分：8.8 | 评价人数：814754 | 年份：2017 | 短评：
143. 《哪吒闹海》 | 评分：9.2 | 评价人数：304597 | 年份：1979 | 短评：
144. 《幸福终点站》 | 评分：8.8 | 评价人数：634820 | 年份：2004 | 短评：
145. 《九品芝麻官》 | 评分：8.8 | 评价人数：783807 | 年份：1994 | 短评：
146. 《被解救的姜戈》 | 评分：8.8 | 评价人数：683763 | 年份：2012 | 短评：
147. 《釜山行》 | 评分：8.6 | 评价人数：1336711 | 年份：2016 | 短评：
148. 《小森林 冬春篇》 | 评分：9.0 | 评价人数：416625 | 年份：2015 | 短评：
149. 《神偷奶爸》 | 评分：8.7 | 评价人数：1037669 | 年份：2010 | 短评：
150. 《喜宴》 | 评分：9.0 | 评价人数：424939 | 年份：1993 | 短评：
151. 《萤火之森》 | 评分：8.8 | 评价人数：603738 | 年份：2011 | 短评：
152. 《告白》 | 评分：8.8 | 评价人数：736781 | 年份：2010 | 短评：
153. 《玛丽和麦克斯》 | 评分：9.0 | 评价人数：465633 | 年份：2009 | 短评：
154. 《头号玩家》 | 评分：8.6 | 评价人数：1502164 | 年份：2018 | 短评：
155. 《七武士》 | 评分：9.3 | 评价人数：231945 | 年份：1954 | 短评：
156. 《模仿游戏》 | 评分：8.8 | 评价人数：714380 | 年份：2014 | 短评：
157. 《大鱼》 | 评分：8.8 | 评价人数：621595 | 年份：2003 | 短评：
158. 《惊魂记》 | 评分：9.0 | 评价人数：350564 | 年份：1960 | 短评：
159. 《射雕英雄传之东成西就》 | 评分：8.7 | 评价人数：711741 | 年份：1993 | 短评：
160. 《血战钢锯岭》 | 评分：8.7 | 评价人数：852812 | 年份：2016 | 短评：
161. 《你的名字。》 | 评分：8.5 | 评价人数：1577944 | 年份：2016 | 短评：
162. 《我是山姆》 | 评分：9.0 | 评价人数：372729 | 年份：2001 | 短评：
163. 《心灵奇旅》 | 评分：8.7 | 评价人数：1127245 | 年份：2020 | 短评：
164. 《背靠背，脸对脸》 | 评分：9.5 | 评价人数：175662 | 年份：1994 | 短评：
165. 《阳光姐妹淘》 | 评分：8.8 | 评价人数：633675 | 年份：2011 | 短评：
166. 《恐怖直播》 | 评分：8.7 | 评价人数：721883 | 年份：2013 | 短评：
167. 《黑客帝国3：矩阵革命》 | 评分：8.8 | 评价人数：492806 | 年份：2003 | 短评：
168. 《三块广告牌》 | 评分：8.7 | 评价人数：911823 | 年份：2017 | 短评：
169. 《电锯惊魂》 | 评分：8.7 | 评价人数：605901 | 年份：2004 | 短评：
170. 《小丑》 | 评分：8.7 | 评价人数：1116975 | 年份：2019 | 短评：
171. 《谍影重重3》 | 评分：8.9 | 评价人数：465900 | 年份：2007 | 短评：
172. 《达拉斯买家俱乐部》 | 评分：8.8 | 评价人数：501550 | 年份：2013 | 短评：
173. 《无间道2》 | 评分：8.8 | 评价人数：559761 | 年份：2003 | 短评：
174. 《疯狂原始人》 | 评分：8.7 | 评价人数：913584 | 年份：2013 | 短评：
175. 《末路狂花》 | 评分：9.0 | 评价人数：338179 | 年份：1991 | 短评：
176. 《高山下的花环》 | 评分：9.5 | 评价人数：153055 | 年份：1984 | 短评：
177. 《绿里奇迹》 | 评分：8.9 | 评价人数：383783 | 年份：1999 | 短评：
